date,precip,t2m,rh2m,wind,rad,ps
1984-12-21,0.0,16.33,64.5,1.88,17.89,83.55
1984-12-22,0.0,16.76,49.36,2.39,18.51,83.61
1984-12-23,0.0,16.47,57.53,2.45,17.06,83.59
1984-12-24,0.1,17.13,55.8,1.6,17.87,83.39
1984-12-25,0.28,14.71,59.45,3.57,17.13,83.54
1984-12-26,0.01,15.25,62.31,4.32,17.08,83.64
1984-12-27,0.11,15.29,65.33,3.13,16.35,83.69
1984-12-28,0.24,15.98,69.23,2.27,16.82,83.65
1984-12-29,0.66,14.94,82.79,1.61,14.68,83.69
1984-12-30,0.01,14.8,74.94,2.4,11.46,83.74
1984-12-31,0.0,15.51,65.76,2.22,13.04,83.63
1985-01-01,0.0,16.12,50.31,2.5,17.74,83.49
1985-01-02,0.0,16.22,40.68,2.34,20.21,83.47
1985-01-03,0.0,14.76,46.18,2.38,14.89,83.61
1985-01-04,0.0,13.43,48.2,2.63,19.18,83.71
1985-01-05,0.0,10.77,51.31,4.24,18.19,83.81
1985-01-06,0.0,12.06,40.66,1.96,20.79,83.77
1985-01-07,0.0,13.18,37.12,1.86,19.98,83.71
1985-01-08,0.0,13.04,50.63,2.37,19.71,83.56
1985-01-09,0.0,14.5,60.01,2.08,12.49,83.56
1985-01-10,0.0,14.4,63.09,1.65,10.6,83.78
1985-01-11,0.19,15.2,66.35,2.53,13.49,83.73
1985-01-12,0.71,12.72,80.59,3.15,11.04,83.68
1985-01-13,2.97,13.06,79.31,2.41,2.85,83.64
1985-01-14,0.08,13.96,70.83,2.01,9.58,83.7
1985-01-15,0.65,14.22,74.21,2.32,16.48,83.71
1985-01-16,0.38,13.89,72.81,3.54,10.31,83.64
1985-01-17,0.13,12.76,75.53,3.05,11.14,83.57
1985-01-18,0.0,13.66,67.61,2.98,17.09,83.48
1985-01-19,0.0,14.14,58.49,2.51,19.59,83.5
1985-01-20,0.0,15.63,43.16,1.74,17.21,83.58
1985-01-21,0.08,13.81,51.7,2.77,19.17,83.72
1985-01-22,0.12,16.38,53.31,1.81,18.72,83.81
1985-01-23,0.08,16.1,61.63,2.26,12.69,83.78
1985-01-24,0.0,16.46,57.05,2.05,19.74,83.83
1985-01-25,0.09,17.44,55.75,1.97,20.14,83.89
1985-01-26,0.01,17.2,59.98,2.62,14.6,83.86
1985-01-27,0.0,16.8,57.13,2.9,20.84,83.77
1985-01-28,0.0,16.5,40.47,1.82,20.82,83.58
1985-01-29,0.0,16.76,34.83,2.4,20.21,83.59
1985-01-30,0.0,16.53,35.99,2.69,20.85,83.56
1985-01-31,0.0,14.31,42.06,3.81,20.65,83.37
1985-02-01,0.03,13.18,52.33,3.65,16.16,83.31
1985-02-02,0.0,13.37,61.65,3.73,19.46,83.45
1985-02-03,0.0,14.35,62.56,3.37,21.16,83.63
1985-02-04,0.0,16.33,52.03,3.37,20.35,83.58
1985-02-05,0.0,15.91,49.47,3.81,19.36,83.49
1985-02-06,0.0,16.55,53.47,2.36,21.14,83.39
1985-02-07,0.0,16.95,50.09,2.05,21.79,83.59
1985-02-08,0.0,16.77,49.94,2.99,21.97,83.67
1985-02-09,0.0,17.46,42.84,2.27,21.4,83.62
1985-02-10,0.0,17.34,37.9,2.06,21.39,83.58
1985-02-11,0.0,17.56,43.93,4.25,22.18,83.6
1985-02-12,0.0,16.64,49.19,2.89,21.8,83.7
1985-02-13,0.0,18.27,44.63,2.02,20.63,83.59
1985-02-14,0.0,18.29,43.35,3.05,19.84,83.62
1985-02-15,0.5,16.12,49.68,3.65,22.0,83.64
1985-02-16,0.76,16.56,52.67,2.33,17.82,83.55
1985-02-17,0.11,17.54,50.17,1.82,17.27,83.6
1985-02-18,0.04,16.79,53.34,1.59,18.11,83.8
